date,season,home_team,away_team,home_score,away_score,venue
2026-04-03,2026,Boston Legacy FC,San Diego Wave FC,0,1,Gillette Stadium
2026-04-04,2026,North Carolina Courage,Portland Thorns FC,2,2,WakeMed Soccer Park
2026-04-04,2026,Kansas City Current,Gotham FC,2,1,CPKC Stadium
2026-04-04,2026,Houston Dash,Racing Louisville FC,4,3,Shell Energy Stadium
2026-04-04,2026,Orlando Pride,Angel City FC,2,1,Inter&Co Stadium
2026-04-04,2026,Utah Royals FC,Chicago Stars FC,1,0,America First Field
2026-04-05,2026,Seattle Reign FC,Denver Summit FC,0,0,ONE Spokane Stadium
2026-04-05,2026,Bay FC,Washington Spirit,0,2,PayPal Park
2026-04-24,2026,Racing Louisville FC,Orlando Pride,3,2,Lynn Family Stadium
2026-04-25,2026,Washington Spirit,Kansas City Current,4,0,Audi Field
2026-04-25,2026,Gotham FC,Bay FC,3,0,Red Bull Arena
2026-04-25,2026,Chicago Stars FC,Boston Legacy FC,2,0,Northwestern Medicine Field at Martin Stadium
2026-04-26,2026,Houston Dash,North Carolina Courage,0,1,Shell Energy Stadium
2026-04-26,2026,Denver Summit FC,San Diego Wave FC,2,3,Dick's Sporting Goods Park
2026-04-26,2026,Angel City FC,Portland Thorns FC,1,2,BMO Stadium
2026-04-27,2026,Seattle Reign FC,Utah Royals FC,0,3,Lumen Field
2026-04-29,2026,Washington Spirit,Racing Louisville FC,1,0,Audi Field
2026-04-29,2026,Boston Legacy FC,North Carolina Courage,2,2,Gillette Stadium
2026-04-30,2026,Portland Thorns FC,San Diego Wave FC,2,0,Providence Park
2026-04-30,2026,Chicago Stars FC,Gotham FC,0,2,Northwestern Medicine Field at Martin Stadium
2026-05-02,2026,Houston Dash,Seattle Reign FC,0,0,Shell Energy Stadium
2026-05-02,2026,Orlando Pride,Washington Spirit,2,4,Inter&Co Stadium
2026-05-02,2026,North Carolina Courage,Kansas City Current,1,2,WakeMed Soccer Park
2026-05-03,2026,Angel City FC,Utah Royals FC,0,1,BMO Stadium
2026-05-03,2026,Chicago Stars FC,Portland Thorns FC,0,2,Northwestern Medicine Field at Martin Stadium
2026-05-03,2026,Boston Legacy FC,Denver Summit FC,3,2,Gillette Stadium
2026-05-03,2026,Gotham FC,Racing Louisville FC,1,0,Red Bull Arena
2026-05-03,2026,San Diego Wave FC,Bay FC,0,1,Snapdragon Stadium
2026-05-07,2026,Utah Royals FC,Houston Dash,2,0,America First Field
2026-05-08,2026,Racing Louisville FC,Portland Thorns FC,3,1,Lynn Family Stadium
2026-05-09,2026,Orlando Pride,North Carolina Courage,1,0,Inter&Co Stadium
2026-05-09,2026,Gotham FC,Boston Legacy FC,1,1,Red Bull Arena
2026-05-10,2026,Seattle Reign FC,Washington Spirit,0,1,Lumen Field
2026-05-10,2026,Bay FC,Utah Royals FC,0,0,PayPal Park
2026-05-10,2026,Kansas City Current,Chicago Stars FC,3,0,CPKC Stadium
2026-05-10,2026,Angel City FC,San Diego Wave FC,1,2,BMO Stadium
2026-05-10,2026,Houston Dash,Denver Summit FC,1,4,Shell Energy Stadium
2026-05-12,2026,Boston Legacy FC,Orlando Pride,2,1,Gillette Stadium
2026-05-16,2026,Kansas City Current,Houston Dash,3,0,CPKC Stadium
2026-05-16,2026,Bay FC,Boston Legacy FC,1,1,PayPal Park
2026-05-16,2026,San Diego Wave FC,Washington Spirit,2,1,Snapdragon Stadium
2026-05-16,2026,Seattle Reign FC,Gotham FC,0,2,Lumen Field
2026-05-16,2026,North Carolina Courage,Chicago Stars FC,4,0,WakeMed Soccer Park
2026-05-17,2026,Denver Summit FC,Orlando Pride,3,1,Dick's Sporting Goods Park
2026-05-17,2026,Portland Thorns FC,Angel City FC,0,0,Providence Park
2026-05-18,2026,Utah Royals FC,Racing Louisville FC,2,1,America First Field
2026-05-21,2026,Houston Dash,San Diego Wave FC,2,2,Shell Energy Stadium
2026-05-21,2026,Angel City FC,Kansas City Current,2,1,BMO Stadium
2026-05-21,2026,Portland Thorns FC,Bay FC,2,0,Providence Park
2026-05-23,2026,Utah Royals FC,Denver Summit FC,2,1,America First Field
2026-05-23,2026,Boston Legacy FC,Seattle Reign FC,1,2,Centreville Bank Stadium
2026-05-23,2026,Racing Louisville FC,North Carolina Courage,1,2,Lynn Family Stadium
2026-05-24,2026,Houston Dash,Angel City FC,2,1,Shell Energy Stadium
2026-05-24,2026,Kansas City Current,Portland Thorns FC,3,1,CPKC Stadium
2026-05-24,2026,Bay FC,Chicago Stars FC,0,1,PayPal Park
2026-05-24,2026,San Diego Wave FC,Orlando Pride,0,1,Snapdragon Stadium
2026-05-29,2026,Orlando Pride,Bay FC,3,1,Inter&Co Stadium
2026-05-30,2026,Racing Louisville FC,Denver Summit FC,0,1,Lynn Family Stadium
2026-05-30,2026,Kansas City Current,Boston Legacy FC,1,0,CPKC Stadium
2026-05-30,2026,Portland Thorns FC,Utah Royals FC,2,2,Providence Park
2026-05-30,2026,Washington Spirit,Seattle Reign FC,2,1,Audi Field
2026-05-31,2026,Angel City FC,North Carolina Courage,1,2,BMO Stadium
2026-05-31,2026,Chicago Stars FC,San Diego Wave FC,0,2,Northwestern Medicine Field at Martin Stadium
2026-05-31,2026,Gotham FC,Houston Dash,1,0,Red Bull Arena
2026-07-04,2026,North Carolina Courage,Seattle Reign FC,3,1,WakeMed Soccer Park
2026-07-04,2026,Angel City FC,Orlando Pride,2,0,BMO Stadium
2026-07-04,2026,Washington Spirit,Houston Dash,2,1,Audi Field
2026-07-04,2026,Denver Summit FC,Kansas City Current,0,3,Dick's Sporting Goods Park
2026-07-05,2026,San Diego Wave FC,Gotham FC,2,0,Snapdragon Stadium
2026-07-05,2026,Boston Legacy FC,Bay FC,2,2,Centreville Bank Stadium
2026-07-05,2026,Chicago Stars FC,Utah Royals FC,3,2,Northwestern Medicine Field at Martin Stadium
2026-07-05,2026,Portland Thorns FC,Racing Louisville FC,4,0,Providence Park
2026-07-11,2026,Boston Legacy FC,Chicago Stars FC,2,0,Centreville Bank Stadium
2026-07-11,2026,Racing Louisville FC,Bay FC,0,2,Lynn Family Stadium
2026-07-11,2026,Orlando Pride,Kansas City Current,3,0,Inter&Co Stadium
2026-07-11,2026,Utah Royals FC,Gotham FC,1,3,America First Field
2026-07-11,2026,North Carolina Courage,Washington Spirit,0,2,WakeMed Soccer Park
2026-07-12,2026,San Diego Wave FC,Angel City FC,0,2,Snapdragon Stadium
2026-07-12,2026,Seattle Reign FC,Portland Thorns FC,2,0,Lumen Field
2026-07-12,2026,Denver Summit FC,Houston Dash,2,2,Dick's Sporting Goods Park
2026-07-15,2026,Orlando Pride,Boston Legacy FC,0,1,Inter&Co Stadium
2026-07-16,2026,Gotham FC,Washington Spirit,1,0,Citi Field
2026-07-18,2026,Kansas City Current,San Diego Wave FC,2,2,CPKC Stadium
2026-07-18,2026,Denver Summit FC,Portland Thorns FC,2,1,Centennial Stadium
2026-07-18,2026,Gotham FC,Seattle Reign FC,3,2,Icahn Stadium
2026-07-18,2026,Bay FC,North Carolina Courage,3,0,PayPal Park
2026-07-18,2026,Chicago Stars FC,Angel City FC,0,2,Northwestern Medicine Field at Martin Stadium
2026-07-19,2026,Utah Royals FC,Orlando Pride,1,0,America First Field
2026-07-19,2026,Racing Louisville FC,Houston Dash,1,1,Lynn Family Stadium
2026-07-19,2026,Boston Legacy FC,Washington Spirit,1,2,Centreville Bank Stadium
2026-07-25,2026,Houston Dash,Bay FC,1,0,Shell Energy Stadium
2026-07-25,2026,Orlando Pride,Chicago Stars FC,1,0,Inter&Co Stadium
2026-07-25,2026,Portland Thorns FC,Gotham FC,2,2,Providence Park
2026-07-25,2026,Boston Legacy FC,Kansas City Current,1,0,Centreville Bank Stadium
2026-07-25,2026,North Carolina Courage,Utah Royals FC,1,4,WakeMed Soccer Park
2026-07-26,2026,Washington Spirit,Denver Summit FC,1,0,Audi Field
2026-07-26,2026,San Diego Wave FC,Seattle Reign FC,0,2,Snapdragon Stadium
2026-07-27,2026,Angel City FC,Racing Louisville FC,1,2,BMO Stadium
